gene_symbol	mechanism	basis	confidence	detail
AAGAB	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
AAK1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.129)
ABCA2	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.169)
ABCB4	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ABCB7	LoF	gnomad	medium	LoF-intolerant (pLI=0.99994, LOEUF=0.109)
ABCD1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ABCE1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9738, LOEUF=0.314)
ABHD17C	LoF	gnomad	medium	LoF-intolerant (pLI=0.95762, LOEUF=0.302)
ABHD8	LoF	gnomad	medium	LoF-intolerant (pLI=0.97027, LOEUF=0.31)
ABL1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.176)
ABLIM1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9301, LOEUF=0.326)
AC005358.1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99303, LOEUF=0.277)
AC006486.9	LoF	gnomad	medium	LoF-intolerant (pLI=0.93701, LOEUF=0.341)
ACACA	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.216)
ACAN	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.183)
ACAP2	LoF	gnomad	medium	LoF-intolerant (pLI=0.92325, LOEUF=0.324)
ACE2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99769, LOEUF=0.25)
ACHE	LoF	gnomad	medium	LoF-intolerant (pLI=0.99827, LOEUF=0.207)
ACIN1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.201)
ACRC	LoF	gnomad	medium	LoF-intolerant (pLI=0.98788, LOEUF=0.268)
ACSL4	LoF	gnomad	medium	LoF-intolerant (pLI=0.98103, LOEUF=0.306)
ACTA2	LoF	gnomad	medium	LoF-intolerant (pLI=0.93017, LOEUF=0.364)
ACTB	LoF	gnomad	medium	LoF-intolerant (pLI=0.98564, LOEUF=0.232)
ACTL6A	LoF	gnomad	medium	LoF-intolerant (pLI=0.99665, LOEUF=0.246)
ACTN1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99997, LOEUF=0.213)
ACTN2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99968, LOEUF=0.239)
ACTN4	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.099)
ACTR1A	LoF	gnomad	medium	LoF-intolerant (pLI=0.96621, LOEUF=0.327)
ACTR2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99896, LOEUF=0.195)
ACTR3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99986, LOEUF=0.118)
ACTR3B	LoF	gnomad	medium	LoF-intolerant (pLI=0.99911, LOEUF=0.192)
ACVR1B	LoF	gnomad	medium	LoF-intolerant (pLI=0.99969, LOEUF=0.172)
ACVR2A	LoF	gnomad	medium	LoF-intolerant (pLI=0.99972, LOEUF=0.17)
ACVRL1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ADAM10	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.117)
ADAM17	LoF	gnomad	medium	LoF-intolerant (pLI=0.99528, LOEUF=0.28)
ADAM23	LoF	gnomad	medium	LoF-intolerant (pLI=0.99709, LOEUF=0.275)
ADAMTS10	LoF	gnomad	medium	LoF-intolerant (pLI=0.84288, LOEUF=0.33)
ADAMTS2	LoF	gnomad	medium	LoF-intolerant (pLI=0.9661, LOEUF=0.311)
ADAMTS6	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.22)
ADCY1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99747, LOEUF=0.272)
ADCY2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99898, LOEUF=0.261)
ADCY5	LoF	gnomad	medium	LoF-intolerant (pLI=0.99928, LOEUF=0.254)
ADCY9	LoF	gnomad	medium	LoF-intolerant (pLI=0.97943, LOEUF=0.306)
ADD1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9883, LOEUF=0.296)
ADD2	LoF	gnomad	medium	LoF-intolerant (pLI=0.9961, LOEUF=0.274)
ADD3	LoF	gnomad	medium	LoF-intolerant (pLI=0.9988, LOEUF=0.246)
ADNP	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ADRBK1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.178)
ADRM1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99704, LOEUF=0.175)
AEBP2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99921, LOEUF=0.145)
AES	LoF	gnomad	medium	LoF-intolerant (pLI=0.93594, LOEUF=0.361)
AF196779.12	LoF	gnomad	medium	LoF-intolerant (pLI=0.96638, LOEUF=0.284)
AFF1	LoF	gnomad	medium	LoF-intolerant (pLI=0.71038, LOEUF=0.347)
AFF2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
AFF3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99996, LOEUF=0.221)
AFF4	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.138)
AFTPH	LoF	gnomad	medium	LoF-intolerant (pLI=0.99997, LOEUF=0.141)
AGAP1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99984, LOEUF=0.231)
AGAP2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99816, LOEUF=0.267)
AGAP3	LoF	gnomad	medium	LoF-intolerant (pLI=0.91091, LOEUF=0.335)
