drugbank_id	inchikey	inchikey14
DB00006	OIRCOABEOLEUMC-GEJPAHFPSA-N	OIRCOABEOLEUMC
DB00007	GFIJNRVAKGFPGQ-LIJARHBVSA-N	GFIJNRVAKGFPGQ
DB00014	BLCLNMBMMGCOAS-URPVMXJPSA-N	BLCLNMBMMGCOAS
DB00027	NDAYQJDHGXTBJL-MWWSRJDJSA-N	NDAYQJDHGXTBJL
DB00035	NFLWUMRGJYTJIN-PNIOQBSNSA-N	NFLWUMRGJYTJIN
DB00050	SBNPWPIBESPSIF-MHWMIDJBSA-N	SBNPWPIBESPSIF
DB00067	KBZOIRJILGZLEJ-UHFFFAOYSA-N	KBZOIRJILGZLEJ
DB00080	DOAKLVKFURWEDJ-QCMAZARJSA-N	DOAKLVKFURWEDJ
DB00091	PMATZTZNYRCHOR-CGLBZJNRSA-N	PMATZTZNYRCHOR
DB00093	SFKQVVDKFKYTNA-DZCXQCEKSA-N	SFKQVVDKFKYTNA
DB00104	DEQANNDTNATYII-OULOTJBUSA-N	DEQANNDTNATYII
DB00106	AIWRTTMUVOZGPW-HSPKUQOVSA-N	AIWRTTMUVOZGPW
DB00114	NGVDGCNFYWLIFO-UHFFFAOYSA-N	NGVDGCNFYWLIFO
DB00115	RHYVGCKRBKDRDX-RQJMMSBLSA-L	RHYVGCKRBKDRDX
DB00116	MSTNYGQPCMXVAQ-KIYNQFGBSA-N	MSTNYGQPCMXVAQ
DB00117	HNDVDQJCIGZPNO-YFKPBYRVSA-N	HNDVDQJCIGZPNO
DB00118	MEFKEPWMEQBLKI-AIRLBKTGSA-N	MEFKEPWMEQBLKI
DB00119	LCTONWCANYUPML-UHFFFAOYSA-N	LCTONWCANYUPML
DB00120	COLNVLDHVKWLRT-QMMMGPOBSA-N	COLNVLDHVKWLRT
DB00121	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	YBJHBAHKTGYVGT
DB00122	OEYIOHPDSNJKLS-UHFFFAOYSA-N	OEYIOHPDSNJKLS
DB00123	KDXKERNSBIXSRK-YFKPBYRVSA-N	KDXKERNSBIXSRK
DB00125	ODKSFYDXXFIFQN-BYPYZUCNSA-N	ODKSFYDXXFIFQN
DB00126	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	CIWBSHSKHKDKBQ
DB00127	PFNFFQXMRSDOHW-UHFFFAOYSA-N	PFNFFQXMRSDOHW
DB00128	CKLJMWTZIZZHCS-REOHCLBHSA-N	CKLJMWTZIZZHCS
DB00129	AHLPHDHHMVZTML-BYPYZUCNSA-N	AHLPHDHHMVZTML
DB00130	ZDXPYRJPNDTMRX-VKHMYHEASA-N	ZDXPYRJPNDTMRX
DB00131	UDMBCSSLTHHNCD-KQYNXXCUSA-N	UDMBCSSLTHHNCD
DB00132	DTOSIQBPPRVQHS-PDBXOOCHSA-N	DTOSIQBPPRVQHS
DB00133	MTCFGRXMJLQNBG-REOHCLBHSA-N	MTCFGRXMJLQNBG
DB00134	FFEARJCKVFRZRR-BYPYZUCNSA-N	FFEARJCKVFRZRR
DB00135	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME
DB00136	GMRQFYUYWCNGIN-NKMMMXOESA-N	GMRQFYUYWCNGIN
DB00137	KBPHJBAIARWVSC-RGZFRNHPSA-N	KBPHJBAIARWVSC
DB00138	LEVWYRKDKASIDU-IMJSIDKUSA-N	LEVWYRKDKASIDU
DB00139	KDYFGRWQOYBRFD-UHFFFAOYSA-N	KDYFGRWQOYBRFD
DB00140	AUNGANRZJHBGPY-SCRDCRAPSA-N	AUNGANRZJHBGPY
DB00141	MBLBDJOUHNCFQT-LXGUWJNJSA-N	MBLBDJOUHNCFQT
DB00142	WHUUTDBJXJRKMK-VKHMYHEASA-N	WHUUTDBJXJRKMK
DB00143	RWSXRVCMGQZWBV-WDSKDSINSA-N	RWSXRVCMGQZWBV
DB00144	UNJJBGNPUUVVFQ-ZJUUUORDSA-N	UNJJBGNPUUVVFQ
DB00145	DHMQDGOQFOQNFH-UHFFFAOYSA-N	DHMQDGOQFOQNFH
DB00146	JWUBBDSIWDLEOM-DTOXIADCSA-N	JWUBBDSIWDLEOM
DB00147	RADKZDMFGJYCBB-UHFFFAOYSA-N	RADKZDMFGJYCBB
DB00148	CVSVTCORWBXHQV-UHFFFAOYSA-N	CVSVTCORWBXHQV
DB00149	ROHFNLRQFUQHCH-YFKPBYRVSA-N	ROHFNLRQFUQHCH
DB00150	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS
DB00151	XUJNEKJLAYXESH-REOHCLBHSA-N	XUJNEKJLAYXESH
DB00152	JZRWCGZRTZMZEH-UHFFFAOYSA-N	JZRWCGZRTZMZEH
DB00153	MECHNRXZTMCUDQ-RKHKHRCZSA-N	MECHNRXZTMCUDQ
DB00154	HOBAELRKJCKHQD-QNEBEIHSSA-N	HOBAELRKJCKHQD
DB00155	RHGKLRLOHDJJDR-BYPYZUCNSA-N	RHGKLRLOHDJJDR
DB00156	AYFVYJQAPQTCCC-GBXIJSLDSA-N	AYFVYJQAPQTCCC
DB00157	BOPGDPNILDQYTO-NNYOXOHSSA-N	BOPGDPNILDQYTO
DB00158	OVBPIULPVIDEAO-LBPRGKRZSA-N	OVBPIULPVIDEAO
DB00159	JAZBEHYOTPTENJ-JLNKQSITSA-N	JAZBEHYOTPTENJ
DB00160	QNAYBMKLOCPYGJ-REOHCLBHSA-N	QNAYBMKLOCPYGJ
DB00161	KZSNJWFQEVHDMF-BYPYZUCNSA-N	KZSNJWFQEVHDMF
DB00162	FPIPGXGPPPQFEQ-OVSJKPMPSA-N	FPIPGXGPPPQFEQ
DB00163	GVJHHUAWPYXKBD-IEOSBIPESA-N	GVJHHUAWPYXKBD
DB00165	LXNHXLLTXMVWPM-UHFFFAOYSA-N	LXNHXLLTXMVWPM
DB00166	AGBQKNBQESQNJD-SSDOTTSWSA-N	AGBQKNBQESQNJD
DB00167	AGPKZVBTJJNPAG-WHFBIAKZSA-N	AGPKZVBTJJNPAG
DB00168	IAOZJIPTCAWIRG-QWRGUYRKSA-N	IAOZJIPTCAWIRG
DB00169	QYSXJUFSXHHAJI-YRZJJWOYSA-N	QYSXJUFSXHHAJI
DB00170	MJVAVZPDRWSRRC-UHFFFAOYSA-N	MJVAVZPDRWSRRC
DB00171	ZKHQWZAMYRWXGA-KQYNXXCUSA-N	ZKHQWZAMYRWXGA
DB00172	ONIBWKKTOPOVIA-BYPYZUCNSA-N	ONIBWKKTOPOVIA
DB00173	GFFGJBXGBJISGV-UHFFFAOYSA-N	GFFGJBXGBJISGV
DB00174	DCXYFEDJOCDNAF-REOHCLBHSA-N	DCXYFEDJOCDNAF
DB00175	TUZYXOIXSAXUGO-PZAWKZKUSA-N	TUZYXOIXSAXUGO
DB00176	CJOFXWAVKWHTFT-XSFVSMFZSA-N	CJOFXWAVKWHTFT
DB00177	ACWBQPMHZXGDFX-QFIPXVFZSA-N	ACWBQPMHZXGDFX
DB00178	HDACQVRGBOVJII-JBDAPHQKSA-N	HDACQVRGBOVJII
DB00179	HCZKYJDFEPMADG-TXEJJXNPSA-N	HCZKYJDFEPMADG
DB00180	XSFJVAJPIHIPKU-XWCQMRHXSA-N	XSFJVAJPIHIPKU
DB00181	KPYSYYIEGFHWSV-UHFFFAOYSA-N	KPYSYYIEGFHWSV
DB00182	KWTSXDURSIMDCE-UHFFFAOYSA-N	KWTSXDURSIMDCE
DB00183	NEYNJQRKHLUJRU-DZUOILHNSA-N	NEYNJQRKHLUJRU
DB00184	SNICXCGAKADSCV-JTQLQIEISA-N	SNICXCGAKADSCV
DB00185	WUTYZMFRCNBCHQ-LHIURRSHSA-N	WUTYZMFRCNBCHQ
DB00186	DIWRORZWFLOCLC-UHFFFAOYSA-N	DIWRORZWFLOCLC
DB00187	AQNDDEOPVVGCPG-UHFFFAOYSA-N	AQNDDEOPVVGCPG
DB00188	GXJABQQUPOEUTA-RDJZCZTQSA-N	GXJABQQUPOEUTA
DB00189	ZEHYJZXQEQOSON-AATRIKPKSA-N	ZEHYJZXQEQOSON
DB00190	TZFNLOMSOLWIDK-JTQLQIEISA-N	TZFNLOMSOLWIDK
DB00191	DHHVAGZRUROJKS-UHFFFAOYSA-N	DHHVAGZRUROJKS
DB00192	UCEWGESNIULAGX-UHFFFAOYSA-N	UCEWGESNIULAGX
DB00193	TVYLLZQTGLZFBW-ZBFHGGJFSA-N	TVYLLZQTGLZFBW
DB00194	OIRDTQYFTABQOQ-UHTZMRCNSA-N	OIRDTQYFTABQOQ
DB00195	NWIUTZDMDHAVTP-UHFFFAOYSA-N	NWIUTZDMDHAVTP
DB00196	RFHAOTPXVQNOHP-UHFFFAOYSA-N	RFHAOTPXVQNOHP
DB00197	GXPHKUHSUJUWKP-UHFFFAOYSA-N	GXPHKUHSUJUWKP
DB00198	VSZGPKBBMSAYNT-RRFJBIMHSA-N	VSZGPKBBMSAYNT
DB00199	ULGZDMOVFRHVEP-RWJQBGPGSA-N	ULGZDMOVFRHVEP
