disease,drug_name,drug_id,confidence,novelty_level,novelty_score,is_known_treatment,combined_score,pillars_hit,pubmed_articles,pubmed_treatment,pubmed_repurposing,clinical_trials,faers_signal,faers_cooccurrences,faers_total_reports,signature_reversal,signature_rank,shared_targets,direct_relations,max_citations,mol_similarity,similar_to,transe_rank,mr_score,mr_genetic_targets,mechanistic_hypothesis,ai_hypothesis,novelty_interpretation,confidence_reasons
Alzheimer's disease,Doxorubicin,DB00997,MEDIUM,NOVEL,0.9,False,1.2064,5,27,0,0,0,moderate,354,105620,False,0,0,0,99,0.8533,Daunorubicin,56,0.7402,12,,,Novel prediction with minimal existing evidence (27 articles). Computational support suggests this warrants investigation.,"9 PubMed article(s) - limited literature; Supported by 5 independent AI pillars; High molecular similarity (0.85) to Daunorubicin; Moderate FAERS signal: 354 adverse event reports mention drug-disease co-occurrence; Supporting paper with 99 citations; Strong causal genetic evidence (MR score: 0.74, 12 genetic targets)"
Alzheimer's disease,Propofol,DB00818,HIGH,KNOWN,0.54,False,1.1964,5,37,20,1,6,moderate,251,34297,False,0,0,0,60,0,,46,0.6849,5,,,"Known association with moderate evidence (37 articles, 6 trials). Already being studied.",6 clinical trial(s) found on ClinicalTrials.gov; 19 PubMed articles found; 1 article(s) specifically mention repurposing/repositioning; Supported by 5 independent AI pillars; Note: Drug had early-phase trial failures for this disease; Moderate FAERS signal: 251 adverse event reports mention drug-disease co-occurrence; Supporting paper with 60 citations; Moderate genetic evidence supporting causality (MR score: 0.68)
Alzheimer's disease,Oxygen,DB09140,HIGH,ESTABLISHED,0.06,True,1.1909,4,4746,2862,12,10,strong,692,48106,False,0,0,0,2660,0,,20,0.7999,15,,,"Well-established drug-disease relationship (4746 articles, 10 trials). Not a repurposing candidate.","10 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 2385 PubMed articles on this drug-disease pair; 12 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Strong FAERS signal: 692 adverse event reports link drug to disease (48106 total reports); Highly cited paper (2660 citations): ""Mitochondrial dysfunction - the beginning of the end in Alzh...""; Strong causal genetic evidence (MR score: 0.80, 15 genetic targets); NOTE: This appears to be an already-approved treatment, not a repurposing candidate"
Alzheimer's disease,Octreotide,DB00104,MEDIUM,NOVEL,1.0,False,1.1849,4,5,4,0,0,moderate,51,7625,False,0,0,0,67,0,,162,0.7915,3,,,Novel prediction with minimal existing evidence (5 articles). Computational support suggests this warrants investigation.,"Supported by 4 independent AI pillars; Moderate FAERS signal: 51 adverse event reports mention drug-disease co-occurrence; Supporting paper with 67 citations; Strong causal genetic evidence (MR score: 0.79, 3 genetic targets)"
Alzheimer's disease,Tacrine,DB00382,HIGH,KNOWN,0.54,False,1.1579,3,1165,1105,5,0,none,0,31,False,0,0,0,836,0,,105,0.9125,2,,,"Known association with moderate evidence (1165 articles, 0 trials). Already being studied.","296 PubMed articles on this drug-disease pair; 4 article(s) specifically mention repurposing/repositioning; Supported by 3 independent AI pillars; Highly cited paper (836 citations): ""Efficacy of acetylcholinesterase inhibitors in Alzheimer's d...""; Strong causal genetic evidence (MR score: 0.91, 2 genetic targets)"
Alzheimer's disease,Estradiol,DB00783,HIGH,KNOWN,0.66,False,1.1548,4,480,347,0,3,none,0,0,False,0,0,0,67,0,,53,0.7606,10,,,"Known association with moderate evidence (480 articles, 3 trials). Already being studied.","3 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 184 PubMed articles on this drug-disease pair; 1 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Supporting paper with 67 citations; Strong causal genetic evidence (MR score: 0.76, 10 genetic targets)"
Alzheimer's disease,Dexamethasone,DB01234,HIGH,KNOWN,0.54,False,1.1506,4,141,75,1,5,moderate,2724,312749,False,0,0,0,66,0,,49,0.7176,14,,,"Known association with moderate evidence (141 articles, 5 trials). Already being studied.","5 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 39 PubMed articles found; 1 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Moderate FAERS signal: 2724 adverse event reports mention drug-disease co-occurrence; Supporting paper with 66 citations; Strong causal genetic evidence (MR score: 0.72, 14 genetic targets)"
Alzheimer's disease,Indomethacin,DB00328,HIGH,KNOWN,0.54,False,1.1373,4,79,69,0,1,strong,187,12623,False,0,0,0,996,0,,57,0.7785,4,,,"Known association with moderate evidence (79 articles, 1 trials). Already being studied.","1 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 15 PubMed articles found; Supported by 4 independent AI pillars; Strong FAERS signal: 187 adverse event reports link drug to disease (12623 total reports); Highly cited paper (996 citations): ""Clinical trial of indomethacin in Alzheimer's disease...""; Strong causal genetic evidence (MR score: 0.78, 4 genetic targets)"
Alzheimer's disease,Epigallocatechin gallate,DB12116,HIGH,KNOWN,0.45,False,1.135,4,160,131,0,3,none,0,19,False,0,0,0,261,0,,21,0.4785,3,,,"Known association with moderate evidence (160 articles, 3 trials). Already being studied.","3 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 74 PubMed articles on this drug-disease pair; Supported by 4 independent AI pillars; Highly cited paper (261 citations): ""Dual-drug loaded nanoparticles of Epigallocatechin-3-gallate...""; Moderate genetic evidence supporting causality (MR score: 0.48)"
Alzheimer's disease,2-Amino-4-Mercapto-Butyric Acid,DB04422,HIGH,KNOWN,0.66,False,1.1332,4,783,293,2,3,none,0,0,False,0,0,0,3,0,,2,0.7508,3,,,"Known association with moderate evidence (783 articles, 3 trials). Already being studied.","3 clinical trial(s) found on ClinicalTrials.gov; Phase 3 trial exists; 282 PubMed articles on this drug-disease pair; 2 article(s) specifically mention repurposing/repositioning; Supported by 4 independent AI pillars; Strong causal genetic evidence (MR score: 0.75, 3 genetic targets)"
